"filename", "language", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\ShelvesPanel\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\ShelvesPanel\styles.js", "JavaScript", 37, 0, 0, 3, 40
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\StartClubButton\StartClubButton.js", "JavaScript", 34, 0, 0, 21, 55
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\StartClubButton\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\StartClubButton\styles.js", "JavaScript", 26, 0, 0, 2, 28
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\constants.js", "JavaScript", 88, 0, 0, 3, 91
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\handlers\socketHandler.js", "JavaScript", 337, 0, 0, 1, 338
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\handlers\socketHandler.ts", "TypeScript", 0, 269, 0, 242, 511
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\objects\Book.js", "JavaScript", 31, 0, 0, 1, 32
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\objects\Book.ts", "TypeScript", 0, 28, 0, 13, 41
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\objects\Shelf.js", "JavaScript", 8, 0, 0, 1, 9
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\objects\Shelf.ts", "TypeScript", 0, 6, 0, 1, 7
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\objects\User.js", "JavaScript", 7, 0, 0, 1, 8
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\objects\User.ts", "TypeScript", 0, 5, 0, 1, 6
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\objects\utility\idAssigner.js", "JavaScript", 7, 0, 0, 1, 8
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\objects\utility\idAssigner.ts", "TypeScript", 0, 4, 0, 1, 5
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\booksSlice.js", "JavaScript", 31, 0, 1, 1, 33
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\booksSlice.ts", "TypeScript", 0, 28, 1, 18, 47
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\clubsSlice.js", "JavaScript", 46, 0, 1, 1, 48
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\clubsSlice.ts", "TypeScript", 0, 44, 1, 31, 76
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\navSlice.js", "JavaScript", 20, 0, 0, 1, 21
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\navSlice.ts", "TypeScript", 0, 17, 0, 8, 25
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\shelvesSlice.js", "JavaScript", 59, 0, 0, 1, 60
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\shelvesSlice.ts", "TypeScript", 0, 57, 0, 37, 94
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\store.js", "JavaScript", 23, 0, 0, 1, 24
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\store.ts", "TypeScript", 0, 19, 0, 5, 24
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\uiSlice.js", "JavaScript", 55, 0, 0, 1, 56
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\uiSlice.ts", "TypeScript", 0, 62, 0, 16, 78
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\userSlice.js", "JavaScript", 20, 0, 0, 1, 21
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\state\userSlice.ts", "TypeScript", 0, 19, 0, 9, 28
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Clubs\Clubs.js", "JavaScript", 34, 0, 0, 19, 53
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Clubs\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Clubs\styles.js", "JavaScript", 17, 0, 0, 2, 19
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Home\Home.js", "JavaScript", 17, 0, 0, 6, 23
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Home\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Home\styles.js", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Shelves\Shelves.js", "JavaScript", 44, 0, 0, 20, 64
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Shelves\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\tabs\Shelves\styles.js", "JavaScript", 23, 0, 0, 3, 26
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\BookDetailWindow\BookDetailWindow.js", "JavaScript", 65, 0, 1, 27, 93
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\BookDetailWindow\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\BookDetailWindow\styles.js", "JavaScript", 23, 0, 0, 2, 25
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\ClubNamingWindow\ClubNamingWindow.js", "JavaScript", 80, 0, 0, 48, 128
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\ClubNamingWindow\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\ClubNamingWindow\styles.js", "JavaScript", 32, 0, 0, 2, 34
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\ClubWindow\ClubWindow.js", "JavaScript", 73, 0, 0, 48, 121
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\ClubWindow\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\windows\ClubWindow\styles.js", "JavaScript", 13, 0, 0, 2, 15
"Total", "-", 2504, 558, 10, 1037, 4109
